"Ensembl_gene_id","Omim_inheritance"
"ENSG00000177119","AR"
"ENSG00000011201","XL;XL-R"
"ENSG00000169604","AR"
"ENSG00000163297","AR"
"ENSG00000106367","AR"
"ENSG00000042753","AD"
"ENSG00000132842","AR"
"ENSG00000103723","AR"
"ENSG00000065000","AR"
"ENSG00000134262","AR"
"ENSG00000081014","AD;AR"
"ENSG00000221838","AR"
"ENSG00000100478","AR"
"ENSG00000242802","AR"
"ENSG00000134982","AD;Heterogeneous;Somatic mutation"
"ENSG00000115266","AR"
"ENSG00000154856","AD;AR"
"ENSG00000118137","AD"
"ENSG00000110243","AD"
"ENSG00000084674","AD;AR"
"ENSG00000234906","AR"
"ENSG00000130203","AD;AR"
"ENSG00000256053","AR;Heterogeneous;MT"
"ENSG00000142192","AD;Heterogeneous"
"ENSG00000198931","AR"
"ENSG00000137074","AR"
"ENSG00000167580","AD;AR;Heterogeneous"
"ENSG00000169083","XL-R"
"ENSG00000095139","AD"
"ENSG00000124198","AR"
"ENSG00000118520","AR"
"ENSG00000145819","AD;Somatic mutation"
"ENSG00000031081","AD"
"ENSG00000141522","AR"
"ENSG00000104728","AD"
"ENSG00000104880","AR"
"ENSG00000129675","XL-R"
"ENSG00000131089","XL-R"
"ENSG00000117713","AD"
"ENSG00000049618","AD;AR"
"ENSG00000189079","AD"
"ENSG00000169379","AR"
"ENSG00000102931","AR"
"ENSG00000113966","AR"
"ENSG00000170540","AR"
"ENSG00000169126","AR"
"ENSG00000140691","AD;Somatic mutation"
"ENSG00000172379","AR"
"ENSG00000100299","AR"
"ENSG00000113273","AR"
"ENSG00000157399","XL-R"
"ENSG00000173409","AR"
"ENSG00000004848","XL;XL-R"
"ENSG00000104763","AD;AR"
"ENSG00000146926","AD"
"ENSG00000138303","AR;Somatic mutation"
"ENSG00000139352","AD"
"ENSG00000126522","AR"
"ENSG00000070669","AR"
"ENSG00000108381","AR"
"ENSG00000198363","AR"
"ENSG00000066279","AR"
"ENSG00000169696","Somatic mutation"
"ENSG00000130707","AR"
"ENSG00000171456","AD;AR;Somatic mutation"
"ENSG00000143970","AD"
"ENSG00000197785","AD;AR"
"ENSG00000167654","AR"
"ENSG00000118217","AR"
"ENSG00000138363","AR"
"ENSG00000198513","AD;Heterogeneous"
"ENSG00000184743","AD"
"ENSG00000149311","AR"
"ENSG00000111676","AD;Genetic anticipation"
"ENSG00000159363","AR"
"ENSG00000018625","AD;Heterogeneous"
"ENSG00000105409","AD"
"ENSG00000196296","AR"
"ENSG00000174437","AD"
"ENSG00000017260","AD"
"ENSG00000152234","AR"
"ENSG00000124172","AR"
"ENSG00000198899","Heterogeneous;MT"
"ENSG00000071553","XL-R"
"ENSG00000182220","AR;XL-R"
"ENSG00000185344","AR"
"ENSG00000105929","AR"
"ENSG00000116039","AR"
"ENSG00000147416","AD"
"ENSG00000131100","AR"
"ENSG00000165240","XL-R"
"ENSG00000123191","AR"
"ENSG00000132932","AR"
"ENSG00000081923","AD;AR"
"ENSG00000171953","AR"
"ENSG00000175054","AD;AR"
"ENSG00000085224","XL-D;XL-R"
"ENSG00000124788","AD;Genetic anticipation with paternal anticipation bias"
"ENSG00000130638","AD;Genetic anticipation"
"ENSG00000204842","AD;Genetic anticipation"
"ENSG00000066427","AD;Genetic anticipation"
"ENSG00000163635","AD;Genetic anticipation with paternal anticipation bias"
"ENSG00000230223","AD"
"ENSG00000148090","AR"
"ENSG00000105146","AR"
"ENSG00000158321","AD"
"ENSG00000101200","AD"
"ENSG00000126895","Heterogeneous;XL-R"
"ENSG00000103126","AD;Heterogeneous;Somatic mutation"
"ENSG00000168646","AD"
"ENSG00000167601","AD;AR"
"ENSG00000166710","AD;AR"
"ENSG00000162885","AR"
"ENSG00000176022","AR"
"ENSG00000149541","AR"
"ENSG00000187676","AR"
"ENSG00000086062","AR"
"ENSG00000027847","AR"
"ENSG00000174684","AR"
"ENSG00000108641","AR"
"ENSG00000123810","AR"
"ENSG00000136881","AR"
"ENSG00000151929","AD"
"ENSG00000175334","AR"
"ENSG00000163930","AD"
"ENSG00000214413","AR"
"ENSG00000174483","AR"
"ENSG00000179941","AR"
"ENSG00000181004","AR"
"ENSG00000125124","AR"
"ENSG00000140463","AR"
"ENSG00000163093","AR"
"ENSG00000138686","AR"
"ENSG00000122507","AR"
"ENSG00000185825","XL-R"
"ENSG00000248098","AR"
"ENSG00000083123","AR"
"ENSG00000142867","AR"
"ENSG00000119866","AD"
"ENSG00000127152","AD"
"ENSG00000135697","AD"
"ENSG00000183337","XL;XL-D"
"ENSG00000186716","Polygenic inheritance;Somatic mutation"
"ENSG00000074582","AR;Heterogeneous;MT"
"ENSG00000176697","AD"
"ENSG00000166546","AD"
"ENSG00000167995","AD;AR"
"ENSG00000125864","AD;AR"
"ENSG00000170819","AD"
"ENSG00000182492","XL;XL-R"
"ENSG00000205899","AR"
"ENSG00000185963","AD"
"ENSG00000136717","AR"
"ENSG00000136573","AD"
"ENSG00000197299","AR"
"ENSG00000095585","AR"
"ENSG00000189114","AR"
"ENSG00000104164","AR"
"ENSG00000106605","AD;AR"
"ENSG00000168487","AR"
"ENSG00000130385","AD"
"ENSG00000125845","AD"
"ENSG00000125378","AD;Familial predisposition"
"ENSG00000164619","AR"
"ENSG00000107779","AD"
"ENSG00000138696","AD;AR"
"ENSG00000204217","AD"
"ENSG00000165733","AD;AR"
"ENSG00000163170","AR"
"ENSG00000172331","AR"
"ENSG00000183753","YL"
"ENSG00000157764","AD;AR;Heterogeneous"
"ENSG00000106009","AR"
"ENSG00000012048","AD;Heterogeneous"
"ENSG00000139618","AD;AR;Heterogeneous;Somatic mutation"
"ENSG00000185024","AR"
"ENSG00000136492","AD;AR;Heterogeneous"
"ENSG00000156983","AD"
