Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000168509 HFE2 AR
ENSG00000265107 GJA5 AD
ENSG00000121634 GJA8 AD
ENSG00000143368 SF3B4 AD
ENSG00000136631 VPS45 AR
ENSG00000266472 AC242988.1 Mi
ENSG00000117360 PRPF3 AD
ENSG00000143374 TARS2 AR
ENSG00000143369 ECM1 AR
ENSG00000143382 ADAMTSL4 AR
ENSG00000143387 CTSK AR
ENSG00000143373 ZNF687 AD
ENSG00000143390 RFX5 AR
ENSG00000143442 POGZ AD
ENSG00000143436 MRPL9 Mi
ENSG00000143365 RORC AR
ENSG00000159450 TCHH AR
ENSG00000143631 FLG AD
ENSG00000203782 LOR AD
ENSG00000143614 GATAD2B AD
ENSG00000143549 TPM3 AD,AR
ENSG00000143575 HAX1 AR
ENSG00000160710 ADAR AD,AR
ENSG00000163344 PMVK AD
ENSG00000160688 FLAD1 AR
ENSG00000185499 MUC1 AD
ENSG00000177628 GBA AD,IC,Mu,AR
ENSG00000143627 PKLR AD,AR
ENSG00000163374 YY1AP1 AR
ENSG00000143622 RIT1 AD
ENSG00000116586 LAMTOR2 AR
ENSG00000160789 LMNA AD,AR
ENSG00000196189 SEMA4A AD,AR
ENSG00000163382 APOA1BP AR
ENSG00000143314 MRPL24 Mi
ENSG00000198400 NTRK1 AD,AR
ENSG00000163554 SPTA1 AD,AR
ENSG00000213088 DARC AD
ENSG00000143315 PIGM AR
ENSG00000177807 KCNJ10 AR
ENSG00000018625 ATP1A2 AD
ENSG00000143318 CASQ1 AD
ENSG00000132716 DCAF8 AD
ENSG00000162735 PEX19 AR
ENSG00000122218 COPA AD
ENSG00000162736 NCSTN AD
ENSG00000162738 VANGL2 AD
ENSG00000143217 PVRL4 AR
ENSG00000143224 PPOX AD
ENSG00000158864 NDUFS2 AR,Mi,XLD,XL
ENSG00000158874 APOA2 AD
ENSG00000158887 MPZ AD,AR
ENSG00000143252 SDHC AD,IC
ENSG00000143226 FCGR2A AD,AR
ENSG00000203747 FCGR3A AR
ENSG00000143226 FCGR2A AD
ENSG00000072694 FCGR2B AD
ENSG00000118217 ATF6 AR
ENSG00000162733 DDR2 AR
ENSG00000232995 RP11-267N12.3 Mu
ENSG00000143183 TMCO1 AR
ENSG00000198821 CD247 AR
ENSG00000143199 ADCY10 AD
ENSG00000143178 TBX19 AR
ENSG00000143153 ATP1B1 Mu
